Index	Mass	RT	ParentCompound	ParentCompoundSmiles	GoodFilter	FilterNoisyT0	FilterNoisyT12	FilterDifferentMassDefect	FilterLikelyDrugFragment	FilterLikelyDrugMetaboliteFragment	PotentialFragments	IonSpectrum	LeadingMZ	DrugMassFlag	DrugMassDelta	MassDiff	DrugConsumedFlag	NumberOfDrugs	NumberOfIncreasedT12vsT0
132	131.004	0.471	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	1	0	0	0	0	0		(132.011, 6635.45)(263.014, 1512.13)	132.011	0	-155.151	-155.151	0	1	0
1051	228.148	1.367	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	0	1	0	0	0		(267.1113, 3638.37)(229.1549, 1250438.4)(230.1581, 133991.12)	229.155	0	-58.006	-58.005	0	1	2
1623	274.974	0.398	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	0	0	1	0	0		(275.9809, 8870.26)(276.9685, 2.83)(277.9561, 2036.09)(278.9561, 2.83)(279.9561, 0.0)	275.981	0	-11.181	-11.181	0	1	1
1826	289.043	0.403	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	1	0	0	0	0		(312.03, 4125.06)(290.0487, 42181.36)(291.0627, 6983.97)(292.046, 4386.25)	290.049	0	2.889	2.889	0	1	1
2616	336.209	4.111	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	1	0	0	0	0	0		(337.2166, 21932.64)(338.224, 5579.22)(711.3857, 1620.59)	337.217	0	50.055	50.055	0	1	2
2911	354.215	4.056	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	1	0	0	0	0	0		(731.4216, 841.75)(355.227, 16478.79)(356.2304, 4129.95)	355.227	0	68.061	68.061	0	1	0
2912	354.219	4.061	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	1	0	0	0	0	0		(731.4225, 646.37)(732.4338, 413.83)(355.2264, 12072.12)(356.2293, 3063.66)	355.226	0	68.065	68.065	0	2	0
3176	372.229	4.069	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	1	0	0	0	0	0		(373.2366, 24113.04)(374.2394, 6512.91)(375.2391, 1778.8)	373.237	0	86.075	86.075	0	1	0
3374	385.232	1.0	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	0	1	1	0	0	0		(386.2396, 67942.19)(387.2305, 17490.21)(809.4119, 2562.75)(810.4106, 1962.79)(811.417, 854.35)	386.24	0	99.078	99.078	0	1	0
3463	390.235	4.06	ABACAVIR SULFATE	Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1	1	0	0	0	0	0		(391.2474, 13884.48)(392.2505, 3276.48)(393.2415, 1196.33)	391.247	0	104.081	104.081	0	1	0
